kind,store,brand,variant,max_depth,max_features,min_samples_leaf,n_estimators,learning_rate,max_leaf_nodes
rf_poisson,Toko_A,OPPO,baseline,10.0,sqrt,1,200.0,,
rf_poisson,Toko_A,Realme,baseline,10.0,sqrt,1,200.0,,
rf_poisson,Toko_A,Samsung,baseline,10.0,sqrt,2,500.0,,
rf_poisson,Toko_A,Vivo,baseline,,sqrt,1,500.0,,
rf_poisson,Toko_A,Xiaomi,baseline,10.0,sqrt,1,200.0,,
rf_poisson,Toko_B,OPPO,baseline,10.0,sqrt,1,200.0,,
rf_poisson,Toko_B,Realme,baseline,,sqrt,1,200.0,,
rf_poisson,Toko_B,Samsung,baseline,10.0,sqrt,2,500.0,,
rf_poisson,Toko_B,Vivo,baseline,,sqrt,2,500.0,,
rf_poisson,Toko_B,Xiaomi,baseline,,sqrt,2,500.0,,
rf_poisson,Toko_C,OPPO,baseline,,sqrt,1,500.0,,
rf_poisson,Toko_C,Realme,baseline,,0.5,2,500.0,,
rf_poisson,Toko_C,Samsung,baseline,10.0,sqrt,1,500.0,,
rf_poisson,Toko_C,Vivo,baseline,10.0,sqrt,2,200.0,,
rf_poisson,Toko_C,Xiaomi,baseline,10.0,sqrt,2,500.0,,
rf_poisson,Toko_D,OPPO,baseline,,sqrt,2,500.0,,
rf_poisson,Toko_D,Realme,baseline,10.0,sqrt,2,200.0,,
rf_poisson,Toko_D,Samsung,baseline,,sqrt,2,500.0,,
rf_poisson,Toko_D,Vivo,baseline,10.0,sqrt,2,500.0,,
rf_poisson,Toko_D,Xiaomi,baseline,10.0,sqrt,2,200.0,,
rf_poisson,Toko_A,OPPO,gt,20.0,sqrt,2,500.0,,
rf_poisson,Toko_A,Realme,gt,10.0,sqrt,1,200.0,,
rf_poisson,Toko_A,Samsung,gt,,0.5,2,200.0,,
rf_poisson,Toko_A,Vivo,gt,10.0,sqrt,1,500.0,,
rf_poisson,Toko_A,Xiaomi,gt,10.0,sqrt,1,200.0,,
rf_poisson,Toko_B,OPPO,gt,10.0,sqrt,2,200.0,,
rf_poisson,Toko_B,Realme,gt,10.0,0.5,1,200.0,,
rf_poisson,Toko_B,Samsung,gt,10.0,sqrt,1,500.0,,
rf_poisson,Toko_B,Vivo,gt,20.0,sqrt,2,200.0,,
rf_poisson,Toko_B,Xiaomi,gt,10.0,sqrt,2,200.0,,
rf_poisson,Toko_C,OPPO,gt,10.0,sqrt,2,500.0,,
rf_poisson,Toko_C,Realme,gt,,0.5,1,500.0,,
rf_poisson,Toko_C,Samsung,gt,,sqrt,1,200.0,,
rf_poisson,Toko_C,Vivo,gt,,sqrt,2,500.0,,
rf_poisson,Toko_C,Xiaomi,gt,,sqrt,2,500.0,,
rf_poisson,Toko_D,OPPO,gt,10.0,sqrt,2,200.0,,
rf_poisson,Toko_D,Realme,gt,20.0,sqrt,1,500.0,,
rf_poisson,Toko_D,Samsung,gt,,sqrt,2,500.0,,
rf_poisson,Toko_D,Vivo,gt,10.0,sqrt,2,200.0,,
rf_poisson,Toko_D,Xiaomi,gt,10.0,sqrt,2,200.0,,
hgb_poisson,Toko_A,OPPO,baseline,,,20,,0.05,8.0
hgb_poisson,Toko_A,Realme,baseline,,,20,,0.05,8.0
hgb_poisson,Toko_A,Samsung,baseline,,,20,,0.05,8.0
hgb_poisson,Toko_A,Vivo,baseline,,,10,,0.05,15.0
hgb_poisson,Toko_A,Xiaomi,baseline,,,20,,0.1,8.0
hgb_poisson,Toko_B,OPPO,baseline,,,20,,0.05,8.0
hgb_poisson,Toko_B,Realme,baseline,,,20,,0.05,8.0
hgb_poisson,Toko_B,Samsung,baseline,,,20,,0.05,8.0
hgb_poisson,Toko_B,Vivo,baseline,,,20,,0.05,8.0
hgb_poisson,Toko_B,Xiaomi,baseline,,,20,,0.05,8.0
hgb_poisson,Toko_C,OPPO,baseline,,,20,,0.05,8.0
hgb_poisson,Toko_C,Realme,baseline,,,10,,0.05,8.0
hgb_poisson,Toko_C,Samsung,baseline,,,20,,0.05,8.0
hgb_poisson,Toko_C,Vivo,baseline,,,10,,0.05,8.0
hgb_poisson,Toko_C,Xiaomi,baseline,,,20,,0.05,8.0
hgb_poisson,Toko_D,OPPO,baseline,,,20,,0.1,8.0
hgb_poisson,Toko_D,Realme,baseline,,,20,,0.05,8.0
hgb_poisson,Toko_D,Samsung,baseline,,,20,,0.05,8.0
hgb_poisson,Toko_D,Vivo,baseline,,,20,,0.05,8.0
hgb_poisson,Toko_D,Xiaomi,baseline,,,20,,0.05,8.0
hgb_poisson,Toko_A,OPPO,gt,,,20,,0.05,8.0
hgb_poisson,Toko_A,Realme,gt,,,20,,0.05,8.0
hgb_poisson,Toko_A,Samsung,gt,,,20,,0.05,8.0
hgb_poisson,Toko_A,Vivo,gt,,,10,,0.05,8.0
