store,brand,variant,max_depth,max_features,min_samples_leaf,n_estimators,gt_importance
Toko_A,OPPO,baseline,,sqrt,2,200,
Toko_A,Realme,baseline,10.0,0.5,2,500,
Toko_A,Samsung,baseline,,0.5,2,200,
Toko_A,Vivo,baseline,10.0,sqrt,2,500,
Toko_A,Xiaomi,baseline,,sqrt,2,500,
Toko_B,OPPO,baseline,10.0,sqrt,2,500,
Toko_B,Realme,baseline,20.0,0.5,2,200,
Toko_B,Samsung,baseline,10.0,sqrt,2,500,
Toko_B,Vivo,baseline,10.0,sqrt,2,200,
Toko_B,Xiaomi,baseline,,sqrt,2,200,
Toko_C,OPPO,baseline,10.0,sqrt,2,200,
Toko_C,Realme,baseline,,sqrt,1,200,
Toko_C,Samsung,baseline,10.0,sqrt,1,200,
Toko_C,Vivo,baseline,,sqrt,2,500,
Toko_C,Xiaomi,baseline,10.0,sqrt,2,200,
Toko_D,OPPO,baseline,,sqrt,2,200,
Toko_D,Realme,baseline,10.0,sqrt,2,200,
Toko_D,Samsung,baseline,,sqrt,2,200,
Toko_D,Vivo,baseline,,sqrt,2,200,
Toko_D,Xiaomi,baseline,10.0,sqrt,2,200,
Toko_A,OPPO,gt,,sqrt,2,200,0.055579377028811015
Toko_A,Realme,gt,,sqrt,1,200,0.1142331652929301
Toko_A,Samsung,gt,,sqrt,2,500,0.052467241038577146
Toko_A,Vivo,gt,,sqrt,2,500,0.07691442741201691
Toko_A,Xiaomi,gt,,sqrt,2,200,0.05284719700064964
Toko_B,OPPO,gt,10.0,sqrt,2,200,0.07712466577779803
Toko_B,Realme,gt,,sqrt,1,500,0.06804798449136623
Toko_B,Samsung,gt,,sqrt,2,500,0.06661829019196475
Toko_B,Vivo,gt,,sqrt,2,200,0.08118581212288203
Toko_B,Xiaomi,gt,10.0,sqrt,2,500,0.06632049555961561
Toko_C,OPPO,gt,10.0,sqrt,2,500,0.06349814947030037
Toko_C,Realme,gt,,sqrt,1,500,0.0931092704704966
Toko_C,Samsung,gt,10.0,sqrt,2,500,0.059831174882463284
Toko_C,Vivo,gt,10.0,sqrt,2,500,0.09251005334984146
Toko_C,Xiaomi,gt,20.0,sqrt,2,500,0.07527022238204897
Toko_D,OPPO,gt,,sqrt,2,500,0.07176039450024495
Toko_D,Realme,gt,10.0,sqrt,2,200,0.09563327281061199
Toko_D,Samsung,gt,,sqrt,2,500,0.09199937797331213
Toko_D,Vivo,gt,10.0,sqrt,2,500,0.07756585289971381
Toko_D,Xiaomi,gt,,sqrt,2,200,0.06988719129206106
