store,brand,variant,p,d,q,P,D,Q,m,order,seasonal_order,has_seasonal_terms,fell_back,aic
Toko_A,OPPO,baseline,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,627.52
Toko_A,Realme,baseline,3,1,0,0,0,0,52,"(3,1,0)","(0,0,0)[52]",False,False,582.8
Toko_A,Samsung,baseline,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,611.68
Toko_A,Vivo,baseline,0,0,0,0,0,1,52,"(0,0,0)","(0,0,1)[52]",True,False,537.52
Toko_A,Xiaomi,baseline,0,0,1,0,0,0,52,"(0,0,1)","(0,0,0)[52]",False,False,650.15
Toko_B,OPPO,baseline,2,0,2,0,0,1,52,"(2,0,2)","(0,0,1)[52]",True,False,591.3
Toko_B,Realme,baseline,3,1,0,1,0,0,52,"(3,1,0)","(1,0,0)[52]",True,False,599.94
Toko_B,Samsung,baseline,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,643.81
Toko_B,Vivo,baseline,0,0,0,0,0,1,52,"(0,0,0)","(0,0,1)[52]",True,False,499.38
Toko_B,Xiaomi,baseline,1,0,1,0,0,0,52,"(1,0,1)","(0,0,0)[52]",False,False,561.75
Toko_C,OPPO,baseline,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,582.97
Toko_C,Realme,baseline,1,0,0,0,0,0,52,"(1,0,0)","(0,0,0)[52]",False,False,504.34
Toko_C,Samsung,baseline,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,540.7
Toko_C,Vivo,baseline,3,1,0,0,0,0,52,"(3,1,0)","(0,0,0)[52]",False,False,507.94
Toko_C,Xiaomi,baseline,1,0,3,0,0,1,52,"(1,0,3)","(0,0,1)[52]",True,False,577.05
Toko_D,OPPO,baseline,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,535.95
Toko_D,Realme,baseline,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,489.88
Toko_D,Samsung,baseline,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,520.1
Toko_D,Vivo,baseline,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,426.31
Toko_D,Xiaomi,baseline,0,0,0,1,0,0,52,"(0,0,0)","(1,0,0)[52]",True,False,510.44
Toko_A,OPPO,gt,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,629.2
Toko_A,Realme,gt,2,1,1,1,0,0,52,"(2,1,1)","(1,0,0)[52]",True,False,551.24
Toko_A,Samsung,gt,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,613.64
Toko_A,Vivo,gt,0,0,0,0,0,1,52,"(0,0,0)","(0,0,1)[52]",True,False,539.5
Toko_A,Xiaomi,gt,0,0,1,0,0,0,52,"(0,0,1)","(0,0,0)[52]",False,False,651.02
Toko_B,OPPO,gt,2,0,2,0,0,0,52,"(2,0,2)","(0,0,0)[52]",False,False,591.65
Toko_B,Realme,gt,2,1,1,0,0,1,52,"(2,1,1)","(0,0,1)[52]",True,False,582.54
Toko_B,Samsung,gt,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,645.41
Toko_B,Vivo,gt,0,0,0,0,0,1,52,"(0,0,0)","(0,0,1)[52]",True,False,501.07
Toko_B,Xiaomi,gt,1,0,1,0,0,0,52,"(1,0,1)","(0,0,0)[52]",False,False,561.26
Toko_C,OPPO,gt,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,580.28
Toko_C,Realme,gt,0,0,1,0,0,0,52,"(0,0,1)","(0,0,0)[52]",False,False,505.38
Toko_C,Samsung,gt,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,541.02
Toko_C,Vivo,gt,0,1,1,0,0,0,52,"(0,1,1)","(0,0,0)[52]",False,False,474.64
Toko_C,Xiaomi,gt,3,0,1,0,0,1,52,"(3,0,1)","(0,0,1)[52]",True,False,575.55
Toko_D,OPPO,gt,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,537.85
Toko_D,Realme,gt,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,489.01
Toko_D,Samsung,gt,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,519.05
Toko_D,Vivo,gt,0,0,0,0,0,0,52,"(0,0,0)","(0,0,0)[52]",False,False,427.33
Toko_D,Xiaomi,gt,0,0,0,1,0,0,52,"(0,0,0)","(1,0,0)[52]",True,False,511.85
