store,brand,lambda_test,smape_floor_oracle,smape_actual_best,gap_vs_floor
Toko_A,OPPO,2.4865,58.23,78.9,20.67
Toko_A,Realme,3.0541,49.79,55.9,6.11
Toko_A,Samsung,2.1081,62.36,84.56,22.2
Toko_A,Vivo,1.8378,68.02,86.52,18.5
Toko_A,Xiaomi,3.4865,47.47,62.04,14.57
Toko_B,OPPO,2.3514,59.85,63.47,3.62
Toko_B,Realme,3.2703,48.76,63.02,14.26
Toko_B,Samsung,2.027,62.49,69.57,7.08
Toko_B,Vivo,1.7297,72.65,87.66,15.01
Toko_B,Xiaomi,2.5405,57.69,72.97,15.28
Toko_C,OPPO,1.7027,73.76,101.15,27.39
Toko_C,Realme,2.4595,58.44,67.91,9.47
Toko_C,Samsung,1.8108,69.32,80.45,11.13
Toko_C,Vivo,1.1081,91.17,121.79,30.62
Toko_C,Xiaomi,1.8378,68.63,85.18,16.55
Toko_D,OPPO,1.4595,81.51,89.61,8.1
Toko_D,Realme,2.0541,62.71,87.0,24.29
Toko_D,Samsung,0.8919,105.23,111.98,6.75
Toko_D,Vivo,1.5676,77.79,116.14,38.35
Toko_D,Xiaomi,1.7297,72.48,93.18,20.7
